,Minute,Player,Team,GameID,Outcome,xG,PSxG,Distance,Body Part,Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
0,9,Jordan Harvey,LAFC,L 4-1,Off Target,0.02,No Input,8,Head,No Input,Mark-Anthony Kaye,Pass (Dead),Mark-Anthony Kaye,Pass (Live)
1,10,Diego Rossi,LAFC,L 4-1,Off Target,0.03,No Input,15,Left Foot,No Input,Mark-Anthony Kaye,Pass (Live),Carlos Vela,Pass (Live)
2,12,Carlos Vela,LAFC,L 4-1,Goal,0.32,0.61,14,Left Foot,No Input,Mark-Anthony Kaye,Pass (Live),Eduard Atuesta,Pass (Live)
3,14,Kim Kee-hee,SEA,L 4-1,Saved,0.03,0.09,12,Head,No Input,Víctor Rodríguez,Pass (Live),Kelvin Leerdam,Pass (Live)
4,21,Carlos Vela,LAFC,L 4-1,Off Target,0.02,No Input,16,Left Foot,No Input,Mark-Anthony Kaye,Pass (Dead),No Input,No Input
5,23,Steven Beitashour,LAFC,L 4-1,Off Target,0.03,No Input,13,Head,No Input,Jordan Harvey,Pass (Live),Eduard Atuesta,Pass (Live)
6,25,Nicolás Lodeiro,SEA,L 4-1,Wayward,0.02,No Input,68,Left Foot,No Input,No Input,No Input,No Input,No Input
7,39,Eduard Atuesta,LAFC,L 4-1,Goal,0.15,0.33,17,Right Foot,No Input,Eduard Atuesta,Dribble,No Input,No Input
8,45,Christian Ramirez,LAFC,L 4-1,Off Target,0.04,No Input,31,Right Foot,Free kick,Carlos Vela,Fouled,Mark-Anthony Kaye,Pass (Live)
9,45.2,Carlos Vela,LAFC,L 4-1,Saved,0.48,0.53,17,Left Foot,Half volley,Christian Ramirez,Pass (Live),Steven Beitashour,Pass (Live)
10,47,Christian Ramirez,LAFC,L 4-1,Saved,0.03,0.12,26,Right Foot,No Input,Diego Rossi,Pass (Live),Jordan Harvey,Pass (Live)
11,51,Harry Shipp,SEA,L 4-1,Goal,0.33,0.67,13,Right Foot,No Input,Víctor Rodríguez,Pass (Live),Cristian Roldan,Pass (Live)
12,55,Carlos Vela,LAFC,L 4-1,Goal,0.43,0.25,5,Left Foot,No Input,Carlos Vela,Dribble,Eduard Atuesta,Pass (Live)
13,61,Diego Rossi,LAFC,L 4-1,Saved,0.26,0.46,13,Right Foot,First touch,Eduard Atuesta,Pass (Live),Christian Ramirez,Pass (Live)
14,61,Christian Ramirez,LAFC,L 4-1,Goal,0.61,0.5,8,Right Foot,No Input,Latif Blessing,Pass (Live),Christian Ramirez,Pass (Live)
15,72,Nicolás Lodeiro,SEA,L 4-1,Blocked,0.07,No Input,19,Left Foot,First touch,Harry Shipp,Pass (Live),No Input,No Input
16,75,Brad Smith,SEA,L 4-1,Off Target,0.02,No Input,21,Left Foot,No Input,Cristian Roldan,Pass (Live),Jordy Delem,Pass (Live)
17,79,Harry Shipp,SEA,L 4-1,Blocked,0.02,No Input,25,Right Foot,First touch Volley,No Input,No Input,No Input,No Input
18,83,Eddie Segura,LAFC,L 4-1,Wayward,0.05,No Input,14,Head,No Input,Latif Blessing,Pass (Live),Lee Nguyen,Pass (Live)
19,84,Mark-Anthony Kaye,LAFC,L 4-1,Blocked,0.17,No Input,12,Left Foot,First touch,Eduard Atuesta,Pass (Live),Carlos Vela,Pass (Live)
20,85,Carlos Vela,LAFC,L 4-1,Saved,0.02,0.07,22,Left Foot,No Input,Adrien Perez,Pass (Live),Mark-Anthony Kaye,Pass (Live)
21,87,Mark-Anthony Kaye,LAFC,L 4-1,Blocked,0.02,No Input,25,Left Foot,No Input,Mark-Anthony Kaye,Dribble,No Input,No Input
0,1,Jordan Morris,SEA,D 1-1,Goal,0.28,0.46,14,Left Foot,No Input,No Input,No Input,No Input,No Input
1,4,Carlos Vela,LAFC,D 1-1,Goal,0.87,0.98,1,Left Foot,First touch Open goal,Diego Rossi,Pass (Live),Jordan Harvey,Pass (Live)
2,22,Brad Smith,SEA,D 1-1,Saved,0.04,0.07,19,Left Foot,No Input,Brad Smith,Dribble,Handwalla Bwana,Pass (Live)
3,24,Carlos Vela,LAFC,D 1-1,Saved,0.03,0.07,25,Left Foot,No Input,Tristan Blackmon,Pass (Live),Eduard Atuesta,Pass (Live)
4,27,Diego Rossi,LAFC,D 1-1,Blocked,0.04,No Input,21,Right Foot,No Input,No Input,No Input,No Input,No Input
5,27,Diego Rossi,LAFC,D 1-1,Saved,0.01,0.15,29,Right Foot,No Input,Carlos Vela,Pass (Live),Walker Zimmerman,Pass (Live)
6,28,Diego Rossi,LAFC,D 1-1,Wayward,0.05,No Input,6,Head,No Input,Carlos Vela,Pass (Live),Carlos Vela,Dribble
