Player,#,Nation,Pos,Team,GameID,Min,CrdY,CrdR,2CrdY,Fls,FlsDrawn,Offside,Crosses,Interception,TklW,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,0,0,0,1,2,1,0,0,0,0,0,0,3,0,1,0
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,0,0,0,0,4,0,3,2,0,0,0,0,6,0,0,
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,0,0,0,1,0,0,2,0,0,0,0,0,10,0,2,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,0,0,0,5,2,0,4,2,2,0,0,0,12,1,2,33.3
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,0,0,0,1,5,0,2,0,6,0,0,0,16,1,1,50
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,0,0,0,1,0,0,1,1,5,0,0,0,9,0,1,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,0,0,0,1,0,0,4,0,0,0,0,0,8,0,0,
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,1,0,0,2,0,0,0,2,2,0,0,0,7,0,0,
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,1,0,0,1,0,0,0,1,0,0,0,0,8,0,0,
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,1,0,0,2,0,0,0,1,1,0,0,0,3,1,1,50
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,1,0,0,3,0,0,1,1,2,0,0,0,2,0,3,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,0,0,0,2,4,0,0,0,1,0,0,0,3,0,0,
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,0,0,0,1,3,0,1,0,0,0,0,0,6,0,0,
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,0,0,0,0,4,0,4,1,1,0,0,0,5,0,0,
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,0,0,0,4,5,0,0,2,1,0,0,0,10,0,1,0
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,0,0,0,1,1,0,1,2,2,0,0,0,13,0,0,
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,1,0,0,0,1,0,3,1,1,0,0,0,9,1,1,50
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,0,0,0,1,0,0,1,1,2,0,0,0,9,4,0,100
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,0,0,0,2,0,0,0,0,1,0,0,0,4,1,1,50
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,0,0,0,1,0,1,0,1,0,0,0,0,8,6,0,100
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,0,0,0,3,0,0,0,2,2,0,0,0,8,0,0,
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
