Player,#,Nation,Pos,Team,GameID,Min,Touches,TchDefPen,TchDef_3rd,TchMid_3rd,TchAtt_3rd,TchAtt_Pen,TchLive,DrblSucc,DrblAtt,DrblSucc%,DrblPast#Pl,DrblMegs,Carries,CarriesTotDist,CarriesPrgDist,PassTarget,PassRec,PassRec%,Miscontrol,Dispos
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,21,0,1,12,8,3,16,2,2,100,2,0,17,135,29,24,12,50,2,0
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,6,0,0,3,4,2,6,0,1,0,0,0,5,63,44,8,4,50,0,2
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,33,1,4,19,13,3,33,1,3,33.3,1,0,26,208,147,27,24,88.9,2,1
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,16,2,7,11,1,0,13,1,2,50,1,0,11,64,30,10,9,90,0,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,35,0,5,17,14,2,35,0,0,,0,0,25,61,29,32,23,71.9,4,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,71,1,12,39,27,2,64,0,1,0,0,0,46,286,115,56,48,85.7,5,5
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,59,4,17,30,15,1,55,2,3,66.7,2,1,45,230,110,37,32,86.5,0,1
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,49,7,22,29,2,0,46,0,0,,0,0,31,189,97,29,26,89.7,1,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,48,0,16,24,16,3,43,2,4,50,2,1,34,246,182,38,32,84.2,2,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,37,7,22,12,3,1,37,0,0,,0,0,19,59,41,22,22,100,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,22,1,8,12,3,0,21,1,1,100,1,0,14,49,20,10,9,90,0,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,41,5,31,11,1,1,41,0,0,,0,0,27,114,69,28,27,96.4,1,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,49,1,11,29,13,0,40,2,2,100,2,0,30,113,61,37,32,86.5,0,1
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,34,33,34,0,0,0,26,0,0,,0,0,16,89,50,14,14,100,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,39,1,3,19,18,3,36,0,0,,0,0,29,71,15,38,29,76.3,1,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,3,0,0,2,1,1,3,0,0,,0,0,2,22,22,7,2,28.6,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,64,2,6,27,37,12,63,2,4,50,2,0,59,412,263,66,54,81.8,2,7
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,53,0,0,22,35,7,52,5,7,71.4,5,0,49,380,221,54,44,81.5,4,2
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,79,0,10,57,14,2,75,1,3,33.3,1,0,58,214,125,56,55,98.2,2,2
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,86,1,12,59,19,0,84,4,5,80,4,1,72,335,143,67,65,97,3,4
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,90,3,17,56,27,3,82,1,2,50,2,0,64,282,144,66,62,93.9,1,1
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,2,0,0,2,0,0,2,0,0,,0,0,1,2,0,0,0,,0,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,77,5,21,37,22,1,69,0,1,0,0,0,48,183,86,52,49,94.2,0,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,65,10,29,42,1,1,62,0,0,,0,0,44,253,136,44,44,100,0,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,74,10,38,41,2,1,71,0,0,,0,0,42,185,104,52,50,96.2,1,0
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,48,1,15,27,9,2,43,2,2,100,2,2,34,130,58,31,28,90.3,0,1
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,19,0,0,14,6,0,19,0,0,,0,0,19,74,20,19,17,89.5,1,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,23,20,23,0,0,0,16,0,0,,0,0,13,58,36,12,12,100,0,0
