Player,#,Nation,Pos,Team,GameID,Min,Tkl,TklW,Tkl_in_Def_3rd,Tkl_in_Mid_3rd,Tkl_in_Att_3rd,Tkl_OppDrbl,Tkl_OppDrbl_Att,Tkl_OppDrbl%,PastByOppDrbl,AplyingPress,Succ_Press,Succ_Press%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,BlockedShots,BlockedShotsOnTrgt,BlockedPass,Interception,Clearance,DefenseError
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,3,90,2,0,0,0,2,2,2,100,0,18,5,27.8,0,8,10,0,0,0,0,2,0,0
Saad Abdul-Salaam\Saad-Abdul-Salaam,12,us USA,FW,SEA,3,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
Handwalla Bwana\Handwalla-Bwana,70,ae UAE,LW,SEA,3,79,4,1,1,2,1,1,4,25,3,21,4,19,9,9,3,4,0,0,4,1,1,0
Henry Wingo\Henry-Wingo,23,us USA,LW,SEA,3,11,0,0,0,0,0,0,0,,0,5,3,60,1,0,4,0,0,0,0,1,1,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,3,70,0,0,0,0,0,0,2,0,2,10,0,0,5,4,1,2,0,0,2,1,1,0
Alex Roldan\Alex-Roldan,16,us USA,RW,SEA,3,20,0,0,0,0,0,0,1,0,1,1,1,100,1,0,0,2,0,0,2,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,3,90,3,1,0,1,2,2,7,28.6,5,24,3,12.5,12,11,1,2,0,0,2,1,7,0
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,3,17,1,0,0,1,0,0,1,0,1,6,0,0,0,4,2,0,0,0,0,1,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,3,90,3,2,2,1,0,2,2,100,0,16,3,18.8,11,5,0,3,1,0,2,1,1,0
Brad Smith\Brad-Smith,11,au AUS,LB,SEA,3,90,9,4,5,3,1,6,8,75,2,23,1,4.3,15,6,2,3,2,0,1,2,2,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,3,90,1,1,1,0,0,0,2,0,2,9,5,55.6,6,1,2,2,0,0,2,1,4,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,3,90,3,2,0,3,0,1,1,100,0,5,3,60,3,2,0,1,1,0,0,0,5,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,3,89,3,1,2,1,0,1,1,100,0,12,1,8.3,7,4,1,0,0,0,0,0,5,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,3,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,3,77,1,0,0,1,0,1,2,50,1,13,4,30.8,2,3,8,0,0,0,0,0,0,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,3,13,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LWRW,LAFC,3,90,0,0,0,0,0,0,1,0,1,16,11,68.8,2,3,11,1,0,0,1,0,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,RWFWLW,LAFC,3,90,0,0,0,0,0,0,2,0,2,10,1,10,1,5,4,1,0,0,1,0,0,0
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,3,90,2,2,0,1,1,1,1,100,0,24,10,41.7,3,11,10,0,0,0,0,2,0,0
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,3,90,3,2,1,1,1,1,2,50,1,22,13,59.1,7,10,5,1,0,0,1,3,2,0
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,3,90,2,1,1,0,1,1,1,100,0,22,13,59.1,3,11,8,2,0,0,2,4,2,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,3,70,1,1,1,0,0,0,0,,0,10,3,30,0,8,2,0,0,0,0,0,1,0
Mohamed El Monir\Mohamed-El-Monir,13,ly LBY,LB,LAFC,3,20,2,2,1,1,0,1,1,100,0,7,5,71.4,3,3,1,1,0,0,1,0,1,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,3,90,3,2,3,0,0,2,2,100,0,8,6,75,4,3,1,0,0,0,0,0,1,1
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,3,90,0,0,0,0,0,0,3,0,3,8,4,50,6,2,0,2,0,0,2,1,1,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,3,45,0,0,0,0,0,0,0,,0,14,8,57.1,4,8,2,2,0,0,2,1,1,0
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,3,45,0,0,0,0,0,0,2,0,2,8,6,75,3,1,4,0,0,0,0,0,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,3,90,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
