Player,#,Nation,Pos,Team,GameID,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_PrgDist,Carries,Carries_PrgDist,Dribble_Succ,Dribble_Att
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,2,0,0,0,5,3,0,0,41,19,2,0,0,0.6,0.6,0.5,8,2,23,28,82.1,83,38,96,8,9
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,0,0,0,0,0,0,0,0,39,16,3,0,1,0,0,0,1,0,21,28,75,164,31,149,1,2
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,0,0,0,0,1,1,1,0,6,4,0,1,0,0.3,0.3,0,0,0,1,2,50,9,3,34,0,1
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,0,1,0,0,0,0,0,0,20,9,0,0,0,0,0,0.1,2,1,15,19,78.9,51,16,93,1,1
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,6,6,100,78,3,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,1,2,0,0,2,1,0,0,62,47,5,2,4,0.1,0.1,0.6,6,2,28,39,71.8,191,36,74,0,2
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,0,0,0,0,1,0,0,0,48,22,6,2,2,0,0,0,0,0,18,30,60,78,34,32,3,3
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,0,0,0,0,0,0,0,0,48,28,7,1,3,0,0,0,0,0,18,32,56.3,142,13,24,0,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,0,0,0,0,2,0,0,0,43,18,3,2,1,0.1,0.1,0,1,0,24,28,85.7,93,24,177,2,4
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,0,0,0,0,1,0,0,0,38,10,2,2,1,0.1,0.1,0,0,0,20,24,83.3,109,13,45,0,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,10,19,52.6,112,11,32,0,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,0,0,0,0,0,0,1,0,52,18,6,3,2,0,0,0,0,0,23,35,65.7,261,19,58,0,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,15,27,55.6,329,5,24,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,0,0,0,0,2,1,0,0,59,5,1,0,2,0.1,0.1,0,5,2,22,36,61.1,145,41,214,4,6
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,0,0,0,0,1,1,0,0,40,10,1,0,2,0,0,0,2,0,21,26,80.8,99,38,171,3,9
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,0,0,0,0,3,0,0,0,19,3,0,0,0,0.2,0.2,0,1,0,5,10,50,16,14,71,1,2
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,0,0,0,0,2,0,0,0,77,11,2,0,1,0.1,0.1,0,1,0,54,60,90,62,75,227,6,9
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,0,0,0,0,0,0,0,0,62,10,0,0,1,0,0,0,0,0,53,56,94.6,250,51,109,1,2
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,0,0,0,0,2,0,0,0,7,4,0,0,0,0.1,0.1,0,1,0,5,5,100,5,5,20,1,1
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,0,0,0,0,1,0,0,0,34,5,0,2,1,0,0,0,0,0,19,25,76,57,28,50,3,6
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,0,0,0,0,0,0,0,0,62,11,2,1,1,0,0,0.1,1,0,50,57,87.7,316,47,132,1,1
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,1,0,0,0,2,1,0,0,114,18,2,6,3,0.1,0.1,0.1,6,0,91,98,92.9,542,86,189,3,3
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,0,0,0,0,0,0,0,0,106,9,1,2,1,0,0,0,2,0,82,99,82.8,529,66,145,0,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,0,0,0,0,1,1,0,0,83,15,1,1,0,0.1,0.1,0,1,0,70,76,92.1,507,58,257,0,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,0,0,0,0,0,0,0,0,64,9,4,1,1,0,0,0,1,0,48,55,87.3,422,29,105,0,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,0,0,0,0,1,0,0,0,75,10,1,2,1,0,0,0,0,0,58,66,87.9,299,52,118,2,3
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,27,29,93.1,344,13,24,0,0
